Sample,Name,Acc,16S,18S,18SName,Proper_name,Type,Source,TimeSeries,xKit,Rep,RepType,Polymerase16S,Polymerase18S,DNA.16S,DNA.18S,Run16S,Run18S,Primer16S,Station,Environment,Estuary,Tide,Date,Season,Year
D2-Aug17,D2 timepoint 30,ERS12471454,1,1,D2-Aug17,D2-Aug17,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2017-08-28,Su,2017
D2-Sep17,D2 timepoint 31,ERS12471455,1,1,D2-Sep17,D2-Sep17,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2017-09-15,Su,2017
D2-Oct17,D2 timepoint 32,ERS12471456,1,1,D2-Oct17,D2-Oct17,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2017-10-15,Au,2017
D2-Nov17,D2 timepoint 33,ERS12471457,1,1,D2-Nov17,D2-Nov17,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2017-11-28,Au,2017
D2-Dec17,D2 timepoint 34,ERS12471458,1,1,D2-Dec17,D2-Dec17,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2017-12-15,Wi,2017
D2-Jan18,D2 timepoint 35,ERS12471459,1,1,D2-Jan18,D2-Jan18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2018-01-15,Wi,2018
D2-Feb18,D2 timepoint 36,ERS12471460,1,1,D2-Feb18,D2-Feb18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2018-02-15,Wi,2018
D2-Mar18,D2 timepoint 37,ERS12471461,1,1,D2-Mar18,D2-Mar18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2018-03-15,Wi,2018
D2-Apr18,D2 timepoint 38,ERS12471462,1,1,D2-Apr18,D2-Apr18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2018-04-15,Sp,2018
D2-May18,D2 timepoint 39,ERS12471463,1,1,D2-May18,D2-May18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2018-05-18,Sp,2018
