Sample,Name,Acc,16S,18S,18SName,Proper_name,Type,Source,TimeSeries,xKit,Rep,RepType,Polymerase16S,Polymerase18S,DNA.16S,DNA.18S,Run16S,Run18S,Primer16S,Station,Environment,Estuary,Tide,Date,Season,Year
LUR20-Nov18,LUR20 timepoint 45,ERS12471537,1,1,LUR20-11_2018,LUR20-Nov18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2018-11-19,Au,2018
LUR20-Dec18,LUR20 timepoint 46,ERS12471538,1,0,LUR20-Dec18,LUR20-Dec18,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2018-12-15,Wi,2018
LUR20-Feb19,LUR20 timepoint 48,ERS12471539,1,1,LUR20-02_2019,LUR20-Feb19,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2019-02-15,Wi,2019
LUR20-Mar19,LUR20 timepoint 49,ERS12471540,1,1,LUR20-03_2019,LUR20-Mar19,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2019-03-11,Sp,2019
LUR20-Apr19,LUR20 timepoint 50,ERS12471541,1,1,LUR20-04_2019,LUR20-Apr19,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2019-04-05,Sp,2019
LUR20-Jul19_STR,LUR20 timepoint 53,ERS12471542,1,1,LUR20-Jul19_STR,LUR20-Jul19_STR,W,Sterivex,W,QiagenLyso,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2019-07-10,Su,2019
LUR20-Aug19,LUR20 timepoint 54,ERS12471543,1,1,LUR20-Aug19,LUR20-Aug19,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2019-08-13,Su,2019
LUR20-Sep19,LUR20 timepoint 55,ERS12471544,1,1,LUR20-Sep19,LUR20-Sep19,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2019-09-13,Su,2019
LUR20-Oct19,LUR20 timepoint 56,ERS12471545,1,1,LUR20-Oct19,LUR20-Oct19,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2019-10-21,Au,2019
LUR20-Nov19,LUR20 timepoint 57,ERS12471546,1,1,LUR20-Nov19,LUR20-Nov19,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2019-11-18,Au,2019
LUR20-Dec19,LUR20 timepoint 58,ERS12471547,1,1,LUR20-Dec19,LUR20-Dec19,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2019-12-05,Wi,2019
LUR20-Jan20,LUR20 timepoint 59,ERS12471548,1,1,LUR20-Jan20,LUR20-Jan20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2020-01-09,Wi,2020
LUR20-Feb20,LUR20 timepoint 60,ERS12471549,1,1,LUR20-Feb20,LUR20-Feb20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2020-02-07,Wi,2020
LUR20-Mar20,LUR20 timepoint 61,ERS12471550,1,1,LUR20-Mar20,LUR20-Mar20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2020-03-13,Sp,2020
LUR20-Apr20,LUR20 timepoint 62,ERS12471551,1,1,LUR20-Apr20,LUR20-Apr20,W,Filter02uM,W,PowerWater,1,Prefilter,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2020-04-23,Sp,2020
LUR20-May20,LUR20 timepoint 63,ERS12471552,1,1,LUR20-May20,LUR20-May20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2020-05-15,Sp,2020
LUR20-Jun20,LUR20 timepoint 64,ERS12471553,1,1,LUR20-Jun20,LUR20-Jun20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2020-06-11,Su,2020
LUR20-Jul20,LUR20 timepoint 65,ERS12471554,1,1,LUR20-Jul20,LUR20-Jul20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2020-07-10,Su,2020
LUR20-Aug20,LUR20 timepoint 66,ERS12471555,1,1,LUR20-Aug20,LUR20-Aug20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2020-08-07,Su,2020
LUR20-Sep20,LUR20 timepoint 67,ERS12471556,1,1,LUR20-Sep20,LUR20-Sep20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2020-09-01,Su,2020
LUR20-Oct20,LUR20 timepoint 68,ERS12471557,1,1,LUR20-Oct20,LUR20-Oct20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2020-10-09,Au,2020
LUR20-Nov20,LUR20 timepoint 69,ERS12471558,1,1,LUR20-Nov20,LUR20-Nov20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2020-11-17,Au,2020
LUR20-Dec20,LUR20 timepoint 70,ERS12471559,1,1,LUR20-Dec20,LUR20-Dec20,W,Filter02uM,W,PowerWater,1,Prefilter,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2020-12-02,Wi,2020
LUR20-Jan21,LUR20 timepoint 71,ERS12471560,1,1,LUR20-Jan21,LUR20-Jan21,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2021-01-11,Wi,2021
LUR20-Feb21,LUR20 timepoint 72,ERS12471561,1,1,LUR20-Feb21,LUR20-Feb21,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2021-02-04,Wi,2021
